,epsilon,n_episodes,total_reward,simulations,performance_score,run_time
0,0.4,500.0,-34.0,200.0,-0.17,0.09020137786865234
1,0.4,1000.0,-51.0,200.0,-0.255,0.21951007843017578
2,0.4,2000.0,-25.0,200.0,-0.125,0.37120866775512695
3,0.4,3000.0,-31.0,200.0,-0.155,0.5666079521179199
4,0.4,4000.0,5.0,200.0,0.025,0.7427315711975098
5,0.4,5000.0,-21.0,200.0,-0.105,0.8892796039581299
6,0.4,10000.0,-26.0,200.0,-0.13,1.9132437705993652
7,0.4,30000.0,-14.0,200.0,-0.07,6.545695543289185
8,0.4,60000.0,18.0,200.0,0.09,11.456238985061646
9,0.4,90000.0,-13.0,200.0,-0.065,17.423686504364014
10,0.4,500.0,-61.0,200.0,-0.305,0.1073305606842041
11,0.4,1000.0,-24.0,200.0,-0.12,0.17391562461853027
12,0.4,2000.0,-28.0,200.0,-0.14,0.3641221523284912
13,0.4,3000.0,-16.0,200.0,-0.08,0.535210371017456
14,0.4,4000.0,-27.0,200.0,-0.135,0.7017991542816162
15,0.4,5000.0,4.0,200.0,0.02,0.8815255165100098
16,0.4,10000.0,-15.0,200.0,-0.075,1.7977747917175293
17,0.4,30000.0,-9.0,200.0,-0.045,5.5668323040008545
18,0.4,60000.0,-2.0,200.0,-0.01,11.336651802062988
19,0.4,90000.0,-19.0,200.0,-0.095,16.936035633087158
20,0.4,500.0,-51.0,200.0,-0.255,0.09658455848693848
21,0.4,1000.0,-14.0,200.0,-0.07,0.18464303016662598
22,0.4,2000.0,-44.0,200.0,-0.22,0.35361814498901367
23,0.4,3000.0,-6.0,200.0,-0.03,0.5528535842895508
24,0.4,4000.0,5.0,200.0,0.025,0.7177369594573975
25,0.4,5000.0,-6.0,200.0,-0.03,0.8789126873016357
26,0.4,10000.0,-25.0,200.0,-0.125,1.8177344799041748
27,0.4,30000.0,-26.0,200.0,-0.13,5.54589056968689
28,0.4,60000.0,-37.0,200.0,-0.185,10.97953724861145
29,0.4,90000.0,1.0,200.0,0.005,16.756020069122314
30,0.4,500.0,-42.0,200.0,-0.21,0.1235809326171875
31,0.4,1000.0,-15.0,200.0,-0.075,0.19446229934692383
32,0.4,2000.0,-17.0,200.0,-0.085,0.35863327980041504
33,0.4,3000.0,-35.0,200.0,-0.175,0.5446658134460449
34,0.4,4000.0,-26.0,200.0,-0.13,0.7042291164398193
35,0.4,5000.0,-19.0,200.0,-0.095,0.9065418243408203
36,0.4,10000.0,2.0,200.0,0.01,1.9127342700958252
37,0.4,30000.0,11.0,200.0,0.055,5.55824613571167
38,0.4,60000.0,-22.0,200.0,-0.11,11.49852967262268
39,0.4,90000.0,-12.0,200.0,-0.06,17.308881521224976
40,0.4,500.0,-25.0,200.0,-0.125,0.09904956817626953
41,0.4,1000.0,-21.0,200.0,-0.105,0.1827700138092041
42,0.4,2000.0,-24.0,200.0,-0.12,0.36712098121643066
43,0.4,3000.0,-14.0,200.0,-0.07,0.5527472496032715
44,0.4,4000.0,-21.0,200.0,-0.105,0.7650656700134277
45,0.4,5000.0,-3.0,200.0,-0.015,0.9186441898345947
46,0.4,10000.0,-6.0,200.0,-0.03,1.991670846939087
47,0.4,30000.0,-26.0,200.0,-0.13,6.04770302772522
48,0.4,60000.0,-19.0,200.0,-0.095,11.729840278625488
49,0.4,90000.0,-4.0,200.0,-0.02,17.361204147338867
50,0.7,500.0,-39.0,200.0,-0.195,0.09546375274658203
51,0.7,1000.0,-14.0,200.0,-0.07,0.18326497077941895
52,0.7,2000.0,-13.0,200.0,-0.065,0.3479495048522949
53,0.7,3000.0,-28.0,200.0,-0.14,0.6184933185577393
54,0.7,4000.0,6.0,200.0,0.03,0.7498090267181396
55,0.7,5000.0,-15.0,200.0,-0.075,0.8875815868377686
56,0.7,10000.0,-22.0,200.0,-0.11,1.8094077110290527
57,0.7,30000.0,-9.0,200.0,-0.045,5.555630683898926
58,0.7,60000.0,-22.0,200.0,-0.11,11.69388484954834
59,0.7,90000.0,-24.0,200.0,-0.12,17.192687273025513
60,0.7,500.0,-3.0,200.0,-0.015,0.09274172782897949
61,0.7,1000.0,-17.0,200.0,-0.085,0.18175959587097168
62,0.7,2000.0,-19.0,200.0,-0.095,0.3893115520477295
63,0.7,3000.0,-15.0,200.0,-0.075,0.5416049957275391
64,0.7,4000.0,-64.0,200.0,-0.32,0.6963474750518799
65,0.7,5000.0,-25.0,200.0,-0.125,0.9000682830810547
66,0.7,10000.0,-10.0,200.0,-0.05,1.8063735961914062
67,0.7,30000.0,-14.0,200.0,-0.07,5.672555923461914
68,0.7,60000.0,-9.0,200.0,-0.045,11.498960018157959
69,0.7,90000.0,-4.0,200.0,-0.02,17.280411958694458
70,0.7,500.0,-46.0,200.0,-0.23,0.09855461120605469
71,0.7,1000.0,-20.0,200.0,-0.1,0.1895158290863037
72,0.7,2000.0,-21.0,200.0,-0.105,0.36996936798095703
73,0.7,3000.0,-2.0,200.0,-0.01,0.5542733669281006
74,0.7,4000.0,-24.0,200.0,-0.12,0.7186722755432129
75,0.7,5000.0,-21.0,200.0,-0.105,0.9085686206817627
76,0.7,10000.0,-8.0,200.0,-0.04,1.9104349613189697
77,0.7,30000.0,-35.0,200.0,-0.175,5.851398468017578
78,0.7,60000.0,-24.0,200.0,-0.12,11.567999601364136
79,0.7,90000.0,-6.0,200.0,-0.03,17.76234006881714
80,0.7,500.0,-24.0,200.0,-0.12,0.09675884246826172
81,0.7,1000.0,-19.0,200.0,-0.095,0.18642878532409668
82,0.7,2000.0,1.0,200.0,0.005,0.36957597732543945
83,0.7,3000.0,-26.0,200.0,-0.13,0.5623729228973389
84,0.7,4000.0,-29.0,200.0,-0.145,0.7378606796264648
85,0.7,5000.0,3.0,200.0,0.015,0.9279136657714844
86,0.7,10000.0,-10.0,200.0,-0.05,1.8761324882507324
87,0.7,30000.0,-16.0,200.0,-0.08,5.976369380950928
88,0.7,60000.0,-8.0,200.0,-0.04,11.585331916809082
89,0.7,90000.0,-25.0,200.0,-0.125,17.35258650779724
90,0.7,500.0,-34.0,200.0,-0.17,0.09821367263793945
91,0.7,1000.0,-47.0,200.0,-0.235,0.19321632385253906
92,0.7,2000.0,-26.0,200.0,-0.13,0.390789270401001
93,0.7,3000.0,-39.0,200.0,-0.195,0.5829534530639648
94,0.7,4000.0,-16.0,200.0,-0.08,0.8705024719238281
95,0.7,5000.0,12.0,200.0,0.06,0.8921034336090088
96,0.7,10000.0,-32.0,200.0,-0.16,1.7929317951202393
97,0.7,30000.0,-19.0,200.0,-0.095,5.6014344692230225
98,0.7,60000.0,-34.0,200.0,-0.17,11.688334941864014
99,0.7,90000.0,-37.0,200.0,-0.185,17.39609384536743
100,0.9,500.0,-45.0,200.0,-0.225,0.09617733955383301
101,0.9,1000.0,-26.0,200.0,-0.13,0.1923227310180664
102,0.9,2000.0,-27.0,200.0,-0.135,0.36522531509399414
103,0.9,3000.0,-13.0,200.0,-0.065,0.5395784378051758
104,0.9,4000.0,-26.0,200.0,-0.13,0.7370717525482178
105,0.9,5000.0,9.0,200.0,0.045,1.0155839920043945
106,0.9,10000.0,-10.0,200.0,-0.05,1.850574254989624
107,0.9,30000.0,-17.0,200.0,-0.085,6.045183420181274
108,0.9,60000.0,-14.0,200.0,-0.07,11.795243978500366
109,0.9,90000.0,-26.0,200.0,-0.13,17.41565704345703
110,0.9,500.0,-42.0,200.0,-0.21,0.10281181335449219
111,0.9,1000.0,-21.0,200.0,-0.105,0.19657111167907715
112,0.9,2000.0,-44.0,200.0,-0.22,0.4233558177947998
113,0.9,3000.0,-17.0,200.0,-0.085,0.557518482208252
114,0.9,4000.0,-17.0,200.0,-0.085,0.7707076072692871
115,0.9,5000.0,3.0,200.0,0.015,0.9041156768798828
116,0.9,10000.0,-42.0,200.0,-0.21,1.8478331565856934
117,0.9,30000.0,-22.0,200.0,-0.11,5.8691394329071045
118,0.9,60000.0,-5.0,200.0,-0.025,11.467793226242065
119,0.9,90000.0,5.0,200.0,0.025,17.330321550369263
120,0.9,500.0,-46.0,200.0,-0.23,0.10161042213439941
121,0.9,1000.0,-10.0,200.0,-0.05,0.18520498275756836
122,0.9,2000.0,-28.0,200.0,-0.14,0.4175145626068115
123,0.9,3000.0,-25.0,200.0,-0.125,0.5433347225189209
124,0.9,4000.0,-6.0,200.0,-0.03,0.7038524150848389
125,0.9,5000.0,7.0,200.0,0.035,0.9000773429870605
126,0.9,10000.0,-9.0,200.0,-0.045,1.8698129653930664
127,0.9,30000.0,-16.0,200.0,-0.08,6.075576066970825
128,0.9,60000.0,-4.0,200.0,-0.02,11.482645273208618
129,0.9,90000.0,-14.0,200.0,-0.07,18.075352668762207
130,0.9,500.0,-18.0,200.0,-0.09,0.10596013069152832
131,0.9,1000.0,-15.0,200.0,-0.075,0.19586920738220215
132,0.9,2000.0,-5.0,200.0,-0.025,0.36826133728027344
133,0.9,3000.0,-19.0,200.0,-0.095,0.5514984130859375
134,0.9,4000.0,-27.0,200.0,-0.135,0.7368674278259277
135,0.9,5000.0,-30.0,200.0,-0.15,0.9029526710510254
136,0.9,10000.0,-29.0,200.0,-0.145,1.8570342063903809
137,0.9,30000.0,-3.0,200.0,-0.015,5.957126140594482
138,0.9,60000.0,-16.0,200.0,-0.08,12.030978679656982
139,0.9,90000.0,-5.0,200.0,-0.025,17.744800567626953
140,0.9,500.0,-22.0,200.0,-0.11,0.09105372428894043
141,0.9,1000.0,-24.0,200.0,-0.12,0.19109225273132324
142,0.9,2000.0,-25.0,200.0,-0.125,0.3524026870727539
143,0.9,3000.0,-23.0,200.0,-0.115,0.5354032516479492
144,0.9,4000.0,-19.0,200.0,-0.095,0.7182905673980713
145,0.9,5000.0,-30.0,200.0,-0.15,0.9314274787902832
146,0.9,10000.0,-7.0,200.0,-0.035,1.7843844890594482
147,0.9,30000.0,-15.0,200.0,-0.075,5.498258590698242
148,0.9,60000.0,-47.0,200.0,-0.235,11.18626618385315
149,0.9,90000.0,-38.0,200.0,-0.19,16.9378981590271
